arch,syscall,system_call
c000003e,0,sys_read
c000003e,1,sys_write
c000003e,2,sys_open
c000003e,3,sys_close
c000003e,4,sys_stat
c000003e,5,sys_fstat
c000003e,6,sys_lstat
c000003e,7,sys_poll
c000003e,8,sys_lseek
c000003e,9,sys_mmap
c000003e,10,sys_mprotect
c000003e,11,sys_munmap
c000003e,12,sys_brk
c000003e,13,sys_rt_sigaction
c000003e,14,sys_rt_sigprocmask
c000003e,15,sys_rt_sigreturn
c000003e,16,sys_ioctl
c000003e,17,sys_pread64
c000003e,18,sys_pwrite64
c000003e,19,sys_readv
c000003e,20,sys_writev
c000003e,21,sys_access
c000003e,22,sys_pipe
c000003e,23,sys_select
c000003e,24,sys_sched_yield
c000003e,25,sys_mremap
c000003e,26,sys_msync
c000003e,27,sys_mincore
c000003e,28,sys_madvise
c000003e,29,sys_shmget
c000003e,30,sys_shmat
c000003e,31,sys_shmctl
c000003e,32,sys_dup
c000003e,33,sys_dup2
c000003e,34,sys_pause
c000003e,35,sys_nanosleep
c000003e,36,sys_getitimer
c000003e,37,sys_alarm
c000003e,38,sys_setitimer
c000003e,39,sys_getpid
c000003e,40,sys_sendfile
c000003e,41,sys_socket
c000003e,42,sys_connect
c000003e,43,sys_accept
c000003e,44,sys_sendto
c000003e,45,sys_recvfrom
c000003e,46,sys_sendmsg
c000003e,47,sys_recvmsg
c000003e,48,sys_shutdown
c000003e,49,sys_bind
c000003e,50,sys_listen
c000003e,51,sys_getsockname
c000003e,52,sys_getpeername
c000003e,53,sys_socketpair
c000003e,54,sys_setsockopt
c000003e,55,sys_getsockopt
c000003e,56,sys_clone
c000003e,57,sys_fork
c000003e,58,sys_vfork
c000003e,59,sys_execve
c000003e,60,sys_exit
c000003e,61,sys_wait4
c000003e,62,sys_kill
c000003e,63,sys_uname
c000003e,64,sys_semget
c000003e,65,sys_semop
c000003e,66,sys_semctl
c000003e,67,sys_shmdt
c000003e,68,sys_msgget
c000003e,69,sys_msgsnd
c000003e,70,sys_msgrcv
c000003e,71,sys_msgctl
c000003e,72,sys_fcntl
c000003e,73,sys_flock
c000003e,74,sys_fsync
c000003e,75,sys_fdatasync
c000003e,76,sys_truncate
c000003e,77,sys_ftruncate
c000003e,78,sys_getdents
c000003e,79,sys_getcwd
c000003e,80,sys_chdir
c000003e,81,sys_fchdir
c000003e,82,sys_rename
c000003e,83,sys_mkdir
c000003e,84,sys_rmdir
c000003e,85,sys_creat
c000003e,86,sys_link
c000003e,87,sys_unlink
c000003e,88,sys_symlink
c000003e,89,sys_readlink
c000003e,90,sys_chmod
c000003e,91,sys_fchmod
c000003e,92,sys_chown
c000003e,93,sys_fchown
c000003e,94,sys_lchown
c000003e,95,sys_umask
c000003e,96,sys_gettimeofday
c000003e,97,sys_getrlimit
c000003e,98,sys_getrusage
c000003e,99,sys_sysinfo
c000003e,100,sys_times
c000003e,101,sys_ptrace
c000003e,102,sys_getuid
c000003e,103,sys_syslog
c000003e,104,sys_getgid
c000003e,105,sys_setuid
c000003e,106,sys_setgid
c000003e,107,sys_geteuid
c000003e,108,sys_getegid
c000003e,109,sys_setpgid
c000003e,110,sys_getppid
c000003e,111,sys_getpgrp
c000003e,112,sys_setsid
c000003e,113,sys_setreuid
c000003e,114,sys_setregid
c000003e,115,sys_getgroups
c000003e,116,sys_setgroups
c000003e,117,sys_setresuid
c000003e,118,sys_getresuid
c000003e,119,sys_setresgid
c000003e,120,sys_getresgid
c000003e,121,sys_getpgid
c000003e,122,sys_setfsuid
c000003e,123,sys_setfsgid
c000003e,124,sys_getsid
